"97.10 Code GBA-deelnemer","97.11 Omschrijving","97.12 Aanduiding aangesloten op het GBA-netwerk","99.98 Datum ingang","99.99 Datum einde"
"030601","Gemeente Amerongen","1","19940515","20060101",""
"030701","Gemeente Amersfoort/Burgerzakentaken","1","20180701","",""
"030801","Gemeente Baarn/Burgerzakentaken","1","20180701","",""
"031001","Gemeente De Bilt/Burgerzakentaken","1","20180701","",""
"031101","Gemeente Breukelen","1","19940930","20110101",""
"031201","Gemeente Bunnik/Burgerzakentaken","1","20180701","",""
"031301","Gemeente Bunschoten/Burgerzakentaken","1","20180701","",""
"031401","Gemeente Cothen","1","19940101","19960101",""
"031501","Gemeente Doorn","1","19920701","20060101",""
"031601","Gemeente Driebergen-Rijsenburg","1","19940615","20060101",""
"031701","Gemeente Eemnes/Burgerzakentaken","1","20180725","",""
"031801","Gemeente Harmelen","1","19931215","20010101",""
"032101","Gemeente Houten/Burgerzakentaken","1","20180701","",""
"032103","Gemeente Houten via MijnOverheid/Verhuisvoorziening","0","20180201","",""
"032501","Gemeente Langbroek","1","19930901","19960101",""
"032601","Gemeente Leersum","1","19931201","20060101",""
"032701","Gemeente Leusden/Burgerzakentaken","1","20180701","",""
"032901","Gemeente Loenen","1","19940901","20110101",""
"033001","Gemeente Loosdrecht","1","19931101","20020101",""
"033101","Gemeente Lopik/Burgerzakentaken","1","20180701","",""
"033201","Gemeente Maarn","1","19940401","20060101",""
"033301","Gemeente Maarssen","1","19940901","20110101",""
"033401","Gemeente Maartensdijk","1","19940315","20010101",""
"033501","Gemeente Montfoort/Burgerzakentaken","1","20180701","",""
"033901","Gemeente Renswoude/Burgerzakentaken","1","20180701","",""
"034001","Gemeente Rhenen/Burgerzakentaken","1","20180701","",""
"034201","Gemeente Soest/Burgerzakentaken","1","20180701","",""
"034401","Gemeente Utrecht/Burgerzakentaken","1","20180701","",""
"034501","Gemeente Veenendaal/Burgerzakentaken","1","20180701","",""
"034701","Gemeente Vleuten-De Meern","1","19931001","20010101",""
"035101","Gemeente Woudenberg/Burgerzakentaken","1","20180701","",""
"035201","Gemeente Wijk bij Duurstede/Burgerzakentaken","1","20180701","",""
"035301","Gemeente IJsselstein/Burgerzakentaken","1","20180701","",""
"035501","Gemeente Zeist/Burgerzakentaken","1","20180701","",""
"035601","Gemeente Nieuwegein/Burgerzakentaken","1","20180701","",""
"035701","Gemeente Egmond","1","19931101","20010101",""
"035801","Gemeente Aalsmeer/Burgerzakentaken","1","20180701","",""
"036001","Gemeente Akersloot","1","19931101","20020101",""
"036101","Gemeente Alkmaar/Burgerzakentaken","1","20180701","",""
"036201","Gemeente Amstelveen/Burgerzakentaken","1","20180701","",""
"036301","Gemeente Amsterdam/Burgerzakentaken","1","20180725","",""
"036303","Gemeente Amsterdam via MijnOverheid/Verhuisvoorziening","0","20171001","",""
"036401","Gemeente Andijk","1","19940215","20110101",""
"036501","Gemeente Graft-De Rijp","1","19931201","20150101",""
"036601","Gemeente Anna Paulowna","1","19940501","20120101",""
"037001","Gemeente Beemster/Burgerzakentaken","1","20180701","",""
"037201","Gemeente Bennebroek","1","19940315","20090101",""
"037301","Gemeente Bergen (NH)/Burgerzakentaken","1","20180701","",""
"037501","Gemeente Beverwijk/Burgerzakentaken","1","20180701","",""
"037601","Gemeente Blaricum/Burgerzakentaken","1","20180725","",""
"037701","Gemeente Bloemendaal/Burgerzakentaken","1","20180725","",""
"038101","Gemeente Bussum","1","19940401","20160101",""
"038301","Gemeente Castricum/Burgerzakentaken","1","20180725","",""
"038401","Gemeente Diemen/Burgerzakentaken","1","20180701","",""
"038501","Gemeente Edam-Volendam/Burgerzakentaken","1","20180725","",""
"038801","Gemeente Enkhuizen/Burgerzakentaken","1","20180701","",""
"039001","Gemeente 's-Graveland","1","19931115","20020101",""
"039201","Gemeente Haarlem/Burgerzakentaken","1","20180701","",""
"039301","Gemeente Haarlemmerliede en Spaarnwoude/Burgerzakentaken","1","20180701","20190101",""
"039401","Gemeente Haarlemmermeer/Burgerzakentaken","1","20180701","",""
"039501","Gemeente Harenkarspel","1","19940701","20130101",""
"039601","Gemeente Heemskerk/Burgerzakentaken","1","20180725","",""
"039701","Gemeente Heemstede/Burgerzakentaken","1","20180701","",""
"039801","Gemeente Heerhugowaard/Burgerzakentaken","1","20180725","",""
"039901","Gemeente Heiloo/Burgerzakentaken","1","20180701","",""
"040001","Gemeente Den Helder/Burgerzakentaken","1","20180701","",""
"040201","Gemeente Hilversum/Burgerzakentaken","1","20180701","",""
"040501","Gemeente Hoorn/Burgerzakentaken","1","20180701","",""
"040601","Gemeente Huizen/Burgerzakentaken","1","20180725","",""
"041201","Gemeente Niedorp","1","19940801","20120101",""
"041501","Gemeente Landsmeer/Burgerzakentaken","1","20180725","",""
"041601","Gemeente Langedijk/Burgerzakentaken","1","20180701","",""
"041603","Gemeente Langedijk via MijnOverheid/Verhuisvoorziening","0","20180501","",""
"041701","Gemeente Laren/Burgerzakentaken","1","20180725","",""
"041801","Gemeente Limmen","1","19940901","20020101",""
"042001","Gemeente Medemblik/Burgerzakentaken","1","20180725","",""
"042401","Gemeente Muiden","1","19931201","20160101",""
"042501","Gemeente Naarden","1","19940601","20160101",""
"042601","Gemeente Nederhorst den Berg","1","19940930","20020101",""
"042901","Gemeente Obdam","1","19931215","20070101",""
"043101","Gemeente Oostzaan/Burgerzakentaken","1","20180701","",""
"043201","Gemeente Opmeer/Burgerzakentaken","1","20180725","",""
"043701","Gemeente Ouder-Amstel/Burgerzakentaken","1","20180701","",""
"043901","Gemeente Purmerend/Burgerzakentaken","1","20180701","",""
"044101","Gemeente Schagen/Burgerzakentaken","1","20180725","",""
"044401","Gemeente Schoorl","1","19940930","20010101",""
"044801","Gemeente Texel/Burgerzakentaken","1","20180725","",""
"045001","Gemeente Uitgeest/Burgerzakentaken","1","20180725","",""
"045101","Gemeente Uithoorn/Burgerzakentaken","1","20180701","",""
"045301","Gemeente Velsen/Burgerzakentaken","1","20180725","",""
"045401","Gemeente Venhuizen","1","19931015","20060101",""
"045701","Gemeente Weesp/Burgerzakentaken","1","20180725","",""
"045801","Gemeente Schermer","1","19930901","20150101",""
"045901","Gemeente Wervershoof","1","19930901","20110101",""
"046201","Gemeente Wieringen","1","19940315","20120101",""
"046301","Gemeente Wieringermeer","1","19940201","20120101",""
"046601","Gemeente Wognum","1","19940315","20070101",""
"047301","Gemeente Zandvoort/Burgerzakentaken","1","20180701","",""
"047601","Gemeente Zijpe","1","19940815","20130101",""
"047801","Gemeente Zeevang","1","19940915","20160101",""
"047901","Gemeente Zaanstad/Burgerzakentaken","1","20180701","",""
"047903","Gemeente Zaanstad via MijnOverheid/Verhuisvoorziening","0","20170601","",""
"048001","Gemeente Ter Aar","1","19940615","20070101",""
"048201","Gemeente Alblasserdam/Burgerzakentaken","1","20180701","",""
"048301","Gemeente Alkemade","1","19931015","20090101",""
"048401","Gemeente Alphen aan den Rijn/Burgerzakentaken","1","20180701","",""
"048901","Gemeente Barendrecht/Burgerzakentaken","1","20180701","",""
"049101","Gemeente Bergambacht","1","19940401","20150101",""
"049201","Gemeente Bergschenhoek","1","19940901","20070101",""
"049301","Gemeente Berkel en Rodenrijs","1","19940601","20070101",""
"049501","Gemeente Bleiswijk","1","19930101","20070101",""
"049701","Gemeente Bodegraven","1","19940615","20110101",""
"049801","Gemeente Drechterland/Burgerzakentaken","1","20180701","",""
"049901","Gemeente Boskoop","1","19940701","20140101",""
"050101","Gemeente Brielle/Burgerzakentaken","1","20180701","",""
"050201","Gemeente Capelle aan den IJssel/Burgerzakentaken","1","20180701","",""
"050301","Gemeente Delft/Burgerzakentaken","1","20180701","",""
"050401","Gemeente Dirksland","1","19940201","20130101",""
"050501","Gemeente Dordrecht/Burgerzakentaken","1","20180701","",""
"051101","Gemeente Goedereede","1","19940201","20130101",""
"051201","Gemeente Gorinchem/Burgerzakentaken","1","20180701","",""
"051301","Gemeente Gouda/Burgerzakentaken","1","20180701","",""
"051701","Gemeente 's-Gravendeel","1","19931001","20070101",""
"051801","Gemeente 's-Gravenhage/Burgerzakentaken","1","20180701","",""
"051901","Gemeente 's-Gravenzande","1","19930801","20040101",""
"052301","Gemeente Hardinxveld-Giessendam/Burgerzakentaken","1","20180701","",""
"052601","Gemeente Heerjansdam","1","19940930","20030101",""
"052901","Gemeente Noorder-Koggenland","1","19940201","20070101",""
"053001","Gemeente Hellevoetsluis/Burgerzakentaken","1","20180701","",""
"053101","Gemeente Hendrik-Ido-Ambacht/Burgerzakentaken","1","20180701","",""
"053201","Gemeente Stede Broec/Burgerzakentaken","1","20180701","",""
"053401","Gemeente Hillegom/Burgerzakentaken","1","20180701","",""
"053701","Gemeente Katwijk/Burgerzakentaken","1","20180725","",""
"054201","Gemeente Krimpen aan den IJssel/Burgerzakentaken","1","20180701","",""
"054501","Gemeente Leerdam/Burgerzakentaken","1","20180701","20190101",""
"054601","Gemeente Leiden/Burgerzakentaken","1","20180701","",""
